movie_id,average_sentiment,neg_sentiment,neu_sentiment,pos_sentiment,genres,revenue,runtime,cluster
77856,0.9945,0.082,0.809,0.109,"Children's/Family, Musical, Fantasy, Comedy, Drama, Family Film, Children's Fantasy",102272727.0,139.0,1
7767613,-0.9763,0.138,0.76,0.102,"Biography, Musical, Drama, Biopic [feature], Biographical film, Musical Drama",4000000.0,176.0,3
1031231,0.9281,0.086,0.815,0.099,"Romantic comedy, Comedy, Music, Comedy of Errors, Romance Film, Slapstick",351447.0,135.0,1
748616,-0.997,0.097,0.856,0.047,"Drama, World cinema",9524745.0,95.0,0
4459059,0.964,0.085,0.785,0.13,"Romantic comedy, Romance Film, Slapstick, Comedy, Indie",14598571.0,99.0,2
5549065,-0.9975,0.129,0.808,0.063,"Crime Fiction, Tragedy, Horror, Supernatural, Musical, Drama",152523164.0,117.0,0
4836072,0.9969,0.059,0.812,0.129,"Costume drama, Roadshow theatrical release, Musical, Drama, Comedy, Romance Film, Family Film",72000000.0,172.0,1
13194784,-0.9947,0.176,0.758,0.066,"Action/Adventure, Combat Films, Action, War film",2176489.0,88.0,3
9088886,-0.9514,0.079,0.882,0.039,"Horror, Film adaptation, Fantasy, Music",45479110.0,101.0,0
580994,-0.9899,0.139,0.799,0.062,Drama,4350000.0,153.0,0
3112996,-0.9914,0.125,0.781,0.094,"Fantasy, Family Film, Horror",10360553.0,91.0,3
770083,-0.5423,0.13,0.766,0.104,"Biography, Musical, Drama, Romantic drama, Biographical film, Romance Film",9085049.0,115.0,3
2651593,0.9906,0.092,0.775,0.133,"Romantic drama, Romance Film, Drama, Art film, World cinema",10422387.0,114.0,2
92582,-0.9873,0.129,0.779,0.093,"Action/Adventure, Western, Drama, Epic",35000000.0,201.0,3
6446044,-0.9977,0.129,0.825,0.045,"Thriller, Action/Adventure, Glamorized Spy Film, Action, Spy",195300000.0,127.0,0
365039,0.7101,0.084,0.821,0.096,"Romantic comedy, Adventure, Action/Adventure, Comedy, Romance Film, Action",164839294.0,102.0,1
3662683,0.8898,0.105,0.777,0.118,"Political cinema, Parody, Political satire, Comedy, Media Satire",16458459.0,108.0,2
2795282,-0.9969,0.144,0.768,0.088,"Thriller, Crime Fiction, Science Fiction, Action, Film adaptation",6770587.0,100.0,3
545187,-0.9363,0.109,0.847,0.044,"Disaster, Thriller, Action, Drama, Action/Adventure",122823468.0,103.0,0
27063955,-0.9877,0.119,0.796,0.085,"Indie, Superhero movie, Action/Adventure, Drama, Comedy, Action, Adventure",324138.0,96.0,0
27451281,0.9939,0.077,0.78,0.142,"Action/Adventure, Action, Comedy",83915414.0,107.0,2
2772142,0.7096,0.0,0.79,0.21,"Drama, Coming of age, Comedy, Indie",24019048.0,87.0,2
2485103,-0.6486,0.164,0.744,0.093,"Thriller, Crime Fiction, Indie, Action/Adventure, Mystery, Drama, Crime Thriller, Action",5568880.0,97.0,3
60164,-0.9815,0.159,0.707,0.134,"Drama, Family Film, Fantasy",3300000.0,132.0,3
23961650,-0.5175,0.086,0.863,0.051,"Black comedy, Screwball comedy, Comedy, Black-and-white",1000000.0,81.0,0
320502,-0.9306,0.118,0.843,0.039,"Thriller, Crime Fiction, Drama, Comedy, Indie",779137.0,93.0,0
20472949,-0.9209,0.204,0.744,0.053,Drama,7088077.0,123.0,3
2929705,-0.9897,0.129,0.791,0.079,"Crime Fiction, Buddy film, Screwball comedy, Action/Adventure, Comedy, Action",6982680.0,82.0,3
1232511,0.978,0.117,0.732,0.151,"Crime Fiction, Heist, Crime Comedy, Action/Adventure, Comedy, Black comedy, Action, Teen",16908947.0,84.0,2
76335,-0.9984,0.158,0.789,0.053,"Action/Adventure, Revisionist Western, Western, Epic Western, Drama",9800000.0,119.0,3
561315,-0.9944,0.162,0.734,0.104,"Adventure, Star vehicle, Black-and-white, Musical, Fantasy, Drama, Coming of age, Family Film",3017000.0,103.0,3
1358544,-0.9373,0.084,0.864,0.052,"Thriller, Psychological thriller, Mystery, Drama, Suspense, Crime Thriller",4468000.0,94.0,0
14790659,0.6675,0.095,0.805,0.101,"Romantic comedy, Romance Film, Comedy",41622502.0,101.0,1
3671998,-0.9982,0.163,0.81,0.028,"Thriller, Horror, Psychological thriller",37170057.0,91.0,0
27511014,-0.9313,0.187,0.745,0.068,War film,20967660.0,,3
15122117,0.2407,0.1,0.797,0.103,"Short Film, Romance Film, Drama",44703995.0,109.0,1
648921,-0.9921,0.164,0.722,0.115,"Thriller, Crime Fiction, Tragedy, Chase Movie, Science Fiction, Action Thrillers, Action",245676146.0,140.0,3
3105139,0.9555,0.053,0.852,0.095,"Romantic comedy, Melodrama, Comedy-drama, Remake, Drama, Comedy, Romantic drama, Romance Film",73052428.0,127.0,1
20669402,-0.9618,0.213,0.787,0.0,"Crime Fiction, Crime, Action, Drama",8250145.0,117.0,3
15703454,-0.8847,0.136,0.811,0.052,"Thriller, Natural horror films, Horror, Jungle Film, Drama, Film adaptation",22375000.0,94.0,0
2137591,-0.0285,0.129,0.746,0.125,"Silent film, Indie, Black-and-white, Drama, War film, Romance Film",4500000.0,134.0,2
10753947,-0.8847,0.091,0.84,0.069,"Science Fiction, Mystery, Fantasy, Film adaptation, Drama, Romantic drama, Romance Film",101229792.0,108.0,0
3584478,-0.9921,0.157,0.751,0.091,"Thriller, Crime Fiction, Black-and-white, Drama, Crime Thriller, Romantic drama, Romance Film, Film noir",2000000.0,120.0,3
10612031,-0.9987,0.162,0.781,0.057,"Romance Film, Drama",5200000.0,152.0,3
1011468,-0.999,0.168,0.781,0.051,"History, Action/Adventure, Drama, War film, Action, Combat Films",114660784.0,140.0,3
4731904,-0.9862,0.173,0.74,0.087,"Drama, Romantic drama, Romance Film, Coming of age, Teen",15453274.0,99.0,3
779536,-0.9901,0.112,0.855,0.032,"Period piece, Drama, War film",3563162.0,126.0,0
3037303,0.8834,0.0,0.894,0.106,"Romance Film, Drama, Musical, Film adaptation",2500000.0,127.0,1
7893461,-0.9633,0.109,0.838,0.053,"LGBT, Thriller, Indie, Erotic thriller, Mystery, Drama, Romantic drama, Romance Film",104883.0,84.0,0
173944,-0.998,0.161,0.751,0.087,"Fantasy Adventure, Adventure, Epic, Action/Adventure, Fantasy, Film adaptation, Drama, Action, Sword and sorcery films",926047111.0,179.0,3
31941863,-0.9698,0.097,0.845,0.058,"Thriller, Horror, Drama",9079402.0,113.0,0
103026,0.9208,0.068,0.852,0.08,"Family Drama, Drama, Marriage Drama, New Hollywood, Courtroom Drama",106260000.0,105.0,1
