,movie_id,movie_cluster,movie_name,release_date,runtime_x,language,country,genres,movie_year,index,id,BookTitle,BookYear,Author,full name,tmdb_id,id_goodreads,imdbid,runtime_y,revenue,budget,rb_ratio,book_id,normalized_rating_x,standardized_rating_x,normalized_rating_y,standardized_rating_y,length,review_count
0,77856,/m/0kcn7,Mary Poppins,1964-08-27,139.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3myq"": ""Children's/Family"", ""/m/04t36"": ""Musical"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/0hqxf"": ""Family Film"", ""/m/0hj3myc"": ""Children's Fantasy""}",1964,1279,1855,Mary Poppins,1934,P. L. Travers,Mary Poppins 1964,433,152380,tt0058331,139.0,103082380.0,6000000.0,17.180396666666667,152380.0,0.802816901408451,1.26313781660705,0.68,0.676011210517658,209.0,4387.0
1,1369204,/m/04x8zs,Juarez,1939,125.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/04xvh5"": ""Costume drama"", ""/m/03bxz7"": ""Biographical film"", ""/m/02p0szs"": ""Historical fiction"", ""/m/01g6gs"": ""Black-and-white"", ""/m/0hj3mws"": ""Biopic [feature]""}",1939,1504,2217,The Phantom Crown: The Story of Maximilian & Carlota of Mexico,1934,0,Juarez 1939,78318,10546105,tt0031516,125.0,0.0,0.0,,10546105.0,0.732394366197183,0.768571339934507,0.763333333333333,1.54500308422227,384.0,1.0
2,164388,/m/015wmt,The Great Santini,1979-10-26,115.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02h8pkk"": ""Family Drama"", ""/m/07s9rl0"": ""Drama""}",1979,883,1253,The Great Santini,1976,Pat Conroy,The Great Santini 1979,21887,1110004,tt0079239,115.0,0.0,0.0,,1110004.0,0.71830985915493,0.669658044599998,0.713333333333333,1.0236079599995,536.0,1115.0
3,19095614,/m/04yc5nd,The Castle,1968,88.0,"{""/m/04306rv"": ""German Language""}","{""/m/082fr"": ""West Germany""}","{""/m/02n4kr"": ""Mystery"", ""/m/07s9rl0"": ""Drama""}",1968,395,564,The Castle,1926,Franz Kafka,The Castle 1968,197962,152864,tt0063563,93.0,0.0,0.0,,152864.0,0.676056338028169,0.372918158596471,0.656666666666667,0.432693485880367,401.0,1595.0
4,13613357,/m/03cbvzw,Grand Canary,1934-07-20,78.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01g6gs"": ""Black-and-white""}",1934,867,1229,Grand Canary,1933,A. J. Cronin,Grand Canary 1934,432684,37941573,tt0025196,78.0,0.0,0.0,,37941573.0,0.746478873239437,0.867484635269017,0.506666666666667,-1.13149188678794,224.0,12.0
5,196176,/m/01bwgr,Straw Dogs,1971-11-03,118.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/07s9rl0"": ""Drama""}",1971,1759,2619,The Siege of Trencher's Farm,1969,Gordon Williams,Straw Dogs 1971,994,10051695,tt0067800,116.0,3251794.0,2200000.0,1.478088181818182,10051695.0,0.76056338028169,0.966397930603525,0.476666666666667,-1.4443289613216,192.0,54.0
6,6703617,/m/0gj6pd,The Forbidden Kingdom,2008-04-04,105.0,"{""/m/0653m"": ""Standard Mandarin"", ""/m/02h40lc"": ""English Language"", ""/m/0459q4"": ""Standard Cantonese""}","{""/m/09c7w0"": ""United States of America"", ""/m/03h64"": ""Hong Kong"", ""/m/0d05w3"": ""China""}","{""/m/08322"": ""Wuxia"", ""/m/0hj3n2k"": ""Fantasy Adventure"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04xvlr"": ""Period piece"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/0gw5qqq"": ""Chinese Movies""}",2008,1090,1555,Journey to the West,1590,Wu Cheng'en,The Forbidden Kingdom 2008,1729,100237,tt0865556,104.0,127906624.0,55000000.0,2.325574981818182,100237.0,0.633802816901408,0.0761782725929433,0.67,0.571732185673104,306.0,420.0
7,24416479,/m/07s7_c0,Beastmaster 2: Through the Portal of Time,1991-08-31,107.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0dz8b"": ""Sword and sorcery"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure""}",1991,213,289,The Beast Master,1959,Andre Norton,Beastmaster 2: Through the Portal of Time 1991,27549,7476314,tt0101412,107.0,869325.0,6000000.0,0.1448875,7476314.0,0.253521126760563,-2.5944807014388,0.666666666666667,0.53697251072492,0.0,68.0
8,9384481,/m/0286qw2,Count Your Blessings,1959,102.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",1959,300,422,The Blessing,1951,Nancy Mitford,Count Your Blessings 1959,166672,153530,tt0052706,102.0,0.0,0.0,,153530.0,0.394366197183099,-1.60534774809371,0.6,-0.15822098823877,221.0,127.0
9,76345,/m/0k47y,Shaft,1971-06-25,98.0,"{""/m/02h40lc"": ""English Language"", ""/m/0t_2"": ""American English""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/0vjs6"": ""Detective"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02n4kr"": ""Mystery"", ""/m/018td"": ""Blaxploitation"", ""/m/07s9rl0"": ""Drama"", ""/m/0c3351"": ""Suspense"", ""/m/02kdv5l"": ""Action""}",1971,1729,2570,Shaft,1970,Ernest Tidyman,Shaft 1971,482,1227993,tt0067741,100.0,12121618.0,4000000.0,3.0304045,1227993.0,0.633802816901408,0.0761782725929433,0.45,-1.72240636090707,,25.0
